id,manufacturer,dtc,description
1620,generic,P0744,Torque Converter Clutch Circuit Intermittent
1621,generic,P0745,Pressure Control Solenoid Malfunction
1622,generic,P0746,Pressure Control Solenoid Performance or Stuck Off
1623,generic,P0747,Pressure Control Solenoid Stuck On
1624,generic,P0748,Pressure Control Solenoid Electrical
1625,generic,P0749,Pressure Control Solenoid Intermittent
1626,generic,P0750,Shift Solenoid A Malfunction
1627,generic,P0751,Shift Solenoid A Performance or Stuck Off
1628,generic,P0752,Shift Solenoid A Stuck OnP0753 Shift Solenoid A Electrical
1629,generic,P0754,Shift Solenoid A Intermittent
1630,generic,P0755,Shift Solenoid B Malfunction
1631,generic,P0756,Shift Solenoid B Performance or Stock Off
1632,generic,P0757,Shift Solenoid B Stuck On
1633,generic,P0758,Shift Solenoid B Electrical
1634,generic,P0759,Shift Solenoid B Intermittent
1635,generic,P0760,Shift Solenoid C Malfunction
1636,generic,P0761,Shift Solenoid C Performance or Stuck Off
1637,generic,P0762,Shift Solenoid C Stuck On
1638,generic,P0763,Shift Solenoid C Electrical
1639,generic,P0764,Shift Solenoid C Intermittent
1640,generic,P0765,Shift Solenoid D Malfunction
1641,generic,P0766,Shift Solenoid D Performance or Stuck Off
1642,generic,P0767,Shift Solenoid D Stuck On
1643,generic,P0768,Shift Solenoid D Electrical
1644,generic,P0769,Shift Solenoid D Intermittent
1645,generic,P0770,Shift Solenoid E Malfunction
1646,generic,P0771,Shift Solenoid E Performance or Stuck Off
1647,generic,P0772,Shift Solenoid E Stuck On
1648,generic,P0773,Shift Solenoid E Electrical
1649,generic,P0774,Shift Solenoid E Intermittent
1650,generic,P0780,Shift Malfunction
1651,generic,P0781,1-2 Shift Malfunction
1652,generic,P0782,2-3 Shift Malfunction
1653,generic,P0783,3-4 Shift Malfunction
1654,generic,P0784,4-5 Shift Malfunction
1655,generic,P0785,Shift/Timing Solenoid Malfunction
1656,generic,P0786,Shift/Timing Solenoid Range/Performance
1657,generic,P0787,Shift/Timing Solenoid Low
1658,generic,P0788,Shift/Timing Solenoid High
1659,generic,P0789,Shift/Timing Solenoid Intermittent
1660,generic,P0790,Normal/Performance Switch Circuit Malfunction
1661,generic,P0801,Reverse Inhibit Control Circuit Malfunction
1662,generic,P0803,1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfunction
1663,generic,P0804,1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction
1664,gmc,P1031,HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1
1665,gmc,P1032,HO2S Heater Warm Up Control Circuit Banks 1 and 2 Sensor 1
1666,gmc,P1105,Secondary Vacuum Sensor Circuit
1667,gmc,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
1668,gmc,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
1669,gmc,P1108,BARO to MAP Sensor Comparison Too High
1670,gmc,P1109,Secondary Port Throttle System
1671,gmc,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
1672,gmc,P1112,Intake Air Temperature (IAT) Sensor Circuit IntermittentLow Voltage
1673,gmc,P1113,Intake Resonance Switchover Solenoid Control Circuit
1674,gmc,P1114,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent Low Voltage
1675,gmc,P1115,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent High Voltage
1676,gmc,P1116,ECT Signal Unstable or Intermittent
1677,gmc,P1117,Engine Coolant Temp. Signal Out-Of-Range Low
1678,gmc,P1118,Engine Coolant Temp. Signal Out-Of-Range High
1679,gmc,P1119,ECT Signal Out-Of-Range With TFT Sensor
1680,gmc,P1120,Throttle Position (TP) Sensor 1 Circuit
1681,gmc,P1121,Throttle Position (TP) Sensor Circuit Intermittent HighVoltage
1682,gmc,P1122,Throttle Position (TP) Sensor Circuit Intermittent LowVoltage
1683,gmc,P1125,APP System
1684,gmc,P1130,HO2S Circuit Low Variance Bank 1 Sensor 1
1685,gmc,P1131,HO2S Circuit Low Variance Bank 1 Sensor 2
1686,gmc,P1132,HO2S Circuit Low Variance Bank 2 Sensor 1
1687,gmc,P1133,HO2S Insufficient Switching Bank 1 Sensor 1
1688,gmc,P1134,HO2S Transition Time Ratio Bank 1 Sensor 1
1689,gmc,P1135,HO2S Lean Mean Bank 1 Sensor 1
1690,gmc,P1136,HO2S Rich Mean Bank 1 Sensor 1
1691,gmc,P1137,HO2S Bank 1 Sensor 2 Lean System or Low Voltage
1692,gmc,P1138,HO2S Bank 1 Sensor 2 Rich or High Voltage
1693,gmc,P1139,HO2S Insuff. Switching Bank 1 Sensor 2
1694,gmc,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
1695,gmc,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
1696,gmc,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
1697,gmc,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
1698,gmc,P1145,HO2S Cross Counts Bank 1 Sensor 3
1699,gmc,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
1700,gmc,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
1701,gmc,P1155,HO2S Lean Mean Bank 2 Sensor 1
1702,gmc,P1156,HO2S Rich Mean Bank 2 Sensor 1
1703,gmc,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
1704,gmc,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
1705,gmc,P1159,HO2S Cross Counts Bank 2 Sensor 2
1706,gmc,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
1707,gmc,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
1708,gmc,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
1709,gmc,P1165,HO2S Cross Counts Bank 2 Sensor 3
1710,gmc,P1170,Bank to Bank Fuel TrimOffset
1711,gmc,P1171,Fuel System Lean During Acceleration
1712,gmc,P1185,Engine Oil Temperature Circuit
1713,gmc,P1186,EOT Circuit Performance
1714,gmc,P1187,EOT Sensor Ckt. Low Voltage
1715,gmc,P1188,EOT Sensor Ckt. High Voltage
1716,gmc,P1189,Engine Oil Pressure (EOP) Switch Circuit
1717,gmc,P1190,Engine Vacuum Leak
1718,gmc,P1191,Intake Air Duct Air Leak
1719,gmc,P1200,Injector Control Circuit
1720,gmc,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
1721,gmc,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
1722,gmc,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
1723,gmc,P1211,Mass Air Flow Circuit Intermittent High
1724,gmc,P1212,Mass Air Flow Circuit Intermittent Low
1725,gmc,P1214,Injection Pump Timing Offset
1726,gmc,P1215,Ground Fault Detection Indicated
1727,gmc,P1216,Fuel Solenoid Response Time Too Short
1728,gmc,P1217,Fuel Solenoid Response Time Too Long
1729,gmc,P1218,Injection Pump Calibration Circuit
1730,gmc,P1219,Throttle Position Sensor Reference Voltage
1731,gmc,P1220,Throttle Position (TP) Sensor 2 Circuit
1732,gmc,P1221,Fuel Pump Secondary Circuit Low
1733,gmc,P1222,Injector Control Circuit Intermittent
1734,gmc,P1225,Injector Circuit Cylinder 2 Intermittent
1735,gmc,P1228,Injector Circuit Cylinder 3 Intermittent
1736,gmc,P1231,Injector Circuit Cylinder 4 Intermittent
1737,gmc,P1234,Injector Circuit Cylinder 5 Intermittent
1738,gmc,P1237,Injector Circuit Cylinder 6 Intermittent
1739,gmc,P1240,Injector Circuit Cylinder 7 Intermittent
1740,gmc,P1243,Injector Circuit Cylinder 8 Intermittent
1741,gmc,P1245,Intake Plenum Switchover Valve
1742,gmc,P1250,Early Fuel Evaporation Heater Circuit
1743,gmc,P1257,Supercharger System Overboost
1744,gmc,P1258,Engine Coolant Overtemperature - Protection Mode Active
1745,gmc,P1260,Last Test Failed Failed SCC ENTER:More Info.
1746,gmc,P1270,Accelerator Pedal Position Sensor A/D Converter Error
1747,gmc,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
1748,gmc,P1272,Accelerator Pedal Position Sensor 2
1749,gmc,P1273,Accelerator Pedal Position Sensor 1
1750,gmc,P1274,Injectors Wired Incorrectly
1751,gmc,P1275,Accelerator Pedal Position (APP) Sensor 1 Circuit
1752,gmc,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
1753,gmc,P1277,Accelerator Pedal Position Sensor 1 Circuit Low Voltage
1754,gmc,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
1755,gmc,P1280,Accelerator Pedal Position (APP) Sensor 2 Circuit
1756,gmc,P1281,Accelerator Pedal Position Sensor 2 Circuit Performance
1757,gmc,P1282,Accelerator Pedal Position Sensor 2 Circuit Low Voltage
1758,gmc,P1283,Accelerator Pedal Position Sensor 2 Circuit High Voltage
1759,gmc,P1285,Accelerator Pedal Position Sensor 3 Circuit
1760,gmc,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
1761,gmc,P1287,Accelerator Pedal Position Sensor 3 Circuit Low Voltage
1762,gmc,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
1763,gmc,P1300,Ignitor Circuit
1764,gmc,P1305,Ignition Coil 2 Primary Feedback Circuit
1765,gmc,P1310,Ignition Coil 3 Primary Feedback Circuit
1766,gmc,P1315,Ignition Coil 4 Primary Feedback Circuit
1767,gmc,P1320,IC 4X Reference Circuit Intermittent
1768,gmc,P1321,Electronic Ignition System Fault Line
1769,gmc,P1322,EI System or Ignition Control Extra or Missing
1770,gmc,P1323,IC 24X Reference Circuit Low Frequency
1771,gmc,P1324,Crank RPM Too Low
1772,gmc,P1335,CKP Circuit
1773,gmc,P1336,Crankshaft Position (CKP) System Variation Not Learned
1774,gmc,P1345,Crankshaft Position (CKP)-Camshaft Position (CMP) Correlation
1775,gmc,P1346,Intake Camshaft Position [CMP] Sensor System Performance
1776,gmc,P1350,Ignition Control System
1777,gmc,P1351,Ignition Coil Control Circuit High Voltage
1778,gmc,P1352,IC Output High/Pulse Detected when GND_Cyl. 2
1779,gmc,P1353,IC Output High/Pulse Detected when GND_Cyl. 3
1780,gmc,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
1781,gmc,P1355,IC Output High/Pulse Detected when GND_Cyl. 5
1782,gmc,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
1783,gmc,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
1784,gmc,P1358,IC Output High/Pulse Detected when GND_Cyl. 8
1785,gmc,P1359,Ignition Coil Group 1 Control Circuit
1786,gmc,P1360,Ignition Coil Group 2 Control Circuit
1787,gmc,P1361,Ignition Coil Control Circuit Low Voltage
1788,gmc,P1362,IC Cylinder 2 Not Toggling After Enable
1789,gmc,P1363,IC Cylinder 3 Not Toggling After Enable
1790,gmc,P1364,IC Cylinder 4 Not Toggling After Enable
1791,gmc,P1365,IC Cylinder 5 Not Toggling After Enable
1792,gmc,P1366,IC Cylinder 6 Not Toggling After Enable
1793,gmc,P1367,IC Cylinder 7 Not Toggling After Enable
1794,gmc,P1368,IC Cylinder 8 Not Toggling After Enable
1795,gmc,P1370,IC 4X Reference Circuit Too Many Pulses
1796,gmc,P1371,IC 4X Reference Circuit Too Few Pulses
1797,gmc,P1372,Crankshaft Position (CKP) Sensor A-B Correlation
1798,gmc,P1374,3X Reference Circuit
1799,gmc,P1375,IC 24X Reference Circuit High Voltage
1800,gmc,P1376,Ignition Ground Circuit
1801,gmc,P1377,IC Cam Pulse To 4X Reference Pulse
1802,gmc,P1380,Misfire Detected - Rough Road Data Not Available
1803,gmc,P1381,Misfire Detected - No Communication with Brake ControlModule
1804,gmc,P1390,Wheel Speed Sensor 1 - G - Sensor Circuit
1805,gmc,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
1806,gmc,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
1807,gmc,P1393,Wheel Speed Sensor 1 - G - Sensor Circuit High Voltage
1808,gmc,P1394,Wheel Speed Sensor 1 - G - Sensor Circuit Intermittent
1809,gmc,P1395,Wheel Speed Sensor 2 - G - Sensor Circuit
1810,gmc,P1396,Wheel Speed Sensor 2 - G - Sensor Circuit Performance
1811,gmc,P1397,Wheel Speed Sensor 2 - G - Sensor Circuit Low Voltage
1812,gmc,P1398,Wheel Speed Sensor 2 - G - Sensor Circuit High Voltage
1813,gmc,P1399,Wheel Speed Sensor 2 - G - Sensor Circuit Intermittent
1814,gmc,P1403,Exhaust Gas Recirculation System Valve 1
1815,gmc,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
1816,gmc,P1405,Exhaust Gas Recirculation System Valve 3
1817,gmc,P1406,EGR Valve Pintle Position Circuit
1818,gmc,P1407,EGR Air Intrusion in Exhaust Supply to EGR Valve
1819,gmc,P1408,Intake Manifold Pressure Sensor Circuit
1820,gmc,P1409,EGR Vacuum System Leak
1821,gmc,P1410,Fuel Tank Pressure System
1822,gmc,P1415,Secondary Air Injection (AIR) System Bank 1
1823,gmc,P1416,Secondary Air Injection (AIR) System Bank 2
1824,gmc,P1418,Secondary Air Injection System Relay A Control CircuitHigh
1825,gmc,P1420,Intake Air Low Pressure Switch Circuit Low Voltage
1826,gmc,P1421,Intake Air Low Pressure Switch Circuit High Voltage
1827,gmc,P1423,Intake Air High Pressure Switch Circuit High Voltage
1828,gmc,P1431,Fuel Level Sensor 2 Circuit Performance
1829,gmc,P1432,Fuel Level Sensor 2 Circuit Low Voltage
1830,gmc,P1433,Fuel Level Sensor 2 Circuit High Voltage
1831,gmc,P1441,Evaporative Emission (EVAP) System Flow During Non-Purge
1832,gmc,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
1833,gmc,P1450,Barometric Pressure Sensor Circuit
1834,gmc,P1451,Barometric Press. Sensor Performance
1835,gmc,P1480,Cooling Fan 1 Control Circuit High
1836,gmc,P1483,Engine Cooling System Performance
1837,gmc,P1500,Starter Signal Circuit
1838,gmc,P1502,Theft Deterrent Fuel Enable Signal Not Received
1839,gmc,P1503,Theft Deterrent Fuel Enable Signal Not Correct
1840,gmc,P1504,Vehicle Speed Output Circuit
1841,gmc,P1508,Idle Speed Low - Idle Air Control (IAC) System NotResponding
1842,gmc,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
1843,gmc,P1510,Throttle Control System Performance - Throttle LimitationActive
1844,gmc,P1511,Throttle Control System - Backup System Performance
1845,gmc,P1514,Airflow to TP Sensor Correlation High
1846,gmc,P1515,Electronic Throttle System Throttle Position
1847,gmc,P1516,Throttle Actuator Control (TAC) Module Throttle ActuatorPosition Performance
1848,gmc,P1517,Electronic Throttle Module
1849,gmc,P1518,Electronic Throttle Module to PCM Communication
1850,gmc,P1519,Throttle Actuator Control (TAC) Module Internal Circuit
1851,gmc,P1520,Transmission Range Switch Circuit
1852,gmc,P1521,Transmission Engaged at High Throttle Angle
1853,gmc,P1522,Park/Neutral to Drive/Reverse at High RPM
1854,gmc,P1523,Throttle Closed Position Performance
1855,gmc,P1524,Throttle Closed Position Performance
1856,gmc,P1525,Throttle Body ServiceRequired
1857,gmc,P1526,Minimum Throttle Position Not Learned
1858,gmc,P1527,Transmission Range to Pressure Switch Correlation
1859,gmc,P1528,Governor
1860,gmc,P1529,Heated Windshield Request Problem
1861,gmc,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
1862,gmc,P1531,A/C Low Side Temperature Sensor Fault
1863,gmc,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
1864,gmc,P1533,A/C Evaporator Temp. Sens. Ckt. High Voltage
1865,gmc,P1534,A/C High Side Temp. Sensor Low Voltage
1866,gmc,P1535,A/C High Side Temperature Sensor Circuit
1867,gmc,P1536,Engine Coolant Overtemperature - Air Conditioning (A/C)Disabled
1868,gmc,P1537,A/C Request Circuit Low Voltage
1869,gmc,P1538,A/C Request Circuit High Voltage
1870,gmc,P1539,A/C Clutch Status Circuit High Voltage
1871,gmc,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
1872,gmc,P1541,A/C High Side Over Temperature
1873,gmc,P1542,A/C System High Pressure High Temperature
1874,gmc,P1543,A/C System Performance
1875,gmc,P1544,A/C Refrigerant Condition Very Low
1876,gmc,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
1877,gmc,P1546,A/C Clutch Status Circuit Low Voltage
1878,gmc,P1547,A/C System Performance Degraded
1879,gmc,P1548,A/C Recirculation Circuit
1880,gmc,P1554,Cruise Control Feedback Circuit
1881,gmc,P1555,Electronic Variable Orifice Output
1882,gmc,P1558,Cruise Control Servo Indicates Low
1883,gmc,P1559,Cruise Control Power Management Mode
1884,gmc,P1560,Transaxle Not in Drive - Cruise Control Disabled
1885,gmc,P1561,Cruise Vent Solenoid
1886,gmc,P1562,Cruise Vacuum Solenoid
1887,gmc,P1563,Cruise Vehicle Speed/Set Speed Difference Too High
1888,gmc,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
1889,gmc,P1565,Cruise Servo Position Sensor
1890,gmc,P1566,Engine RPM Too High - Cruise Control Disabled
1891,gmc,P1567,Active Banking Control Active - Cruise Control Disabled
1892,gmc,P1568,Cruise Servo Stroke Greater than Commanded in Cruise
1893,gmc,P1569,Cruise Servo Stroke High While not in Cruise
1894,gmc,P1570,Traction Control Active - Cruise Control Disabled
1895,gmc,P1571,Traction Control Torque Request Circuit
1896,gmc,P1572,ASR Active Circuit Low Too Long
1897,gmc,P1573,PCM/EBTCM Serial Data Circuit
1898,gmc,P1574,Stoplamp Switch Circuit
1899,gmc,P1575,Extended Travel Brake Switch Circuit
1900,gmc,P1576,BBV Sensor Ckt. High Voltage
1901,gmc,P1577,BBV Sensor Ckt. Low Voltage
1902,gmc,P1578,BBV Sensor Ckt. Low Vacuum
1903,gmc,P1579,P/N to D/R at High Throttle Angle - Power Reduction ModeActive
1904,gmc,P1580,Cruise Move Circuit Low Voltage
1905,gmc,P1581,Cruise Move Circuit High Voltage
1906,gmc,P1582,Cruise Direction Circuit Low Voltage
1907,gmc,P1583,Cruise Direction CircuitHigh Voltage
1908,gmc,P1584,Cruise Control Disabled
1909,gmc,P1585,Cruise Control Inhibit Output Circuit
1910,gmc,P1586,Cruise Control Brake Switch 2 Circuit
1911,gmc,P1587,Cruise Control Clutch Control Circuit Low
1912,gmc,P1588,Cruise Control Clutch Control Circuit High
1913,gmc,P1599,Engine Stall or Near Stall Detected
1914,gmc,P1600,TCM Internal Watchdog Operation
1915,gmc,P1601,Serial Comm. Problem With Device 1
1916,gmc,P1602,Knock Sensor (KS) Module Performance
1917,gmc,P1603,Loss of SDM Serial Data
1918,gmc,P1604,Loss of IPC Serial Data
1919,gmc,P1605,Loss of HVAC Serial Data
1920,gmc,P1606,Serial Communication Problem With Device 6
1921,gmc,P1607,Serial Communication Problem With Device 7
1922,gmc,P1608,Serial Communication Problem With Device 8
1923,gmc,P1609,Loss Of TCS Serial Data
1924,gmc,P1610,Loss of PZM Serial Data
1925,gmc,P1611,Loss of CVRTD Serial Data
1926,gmc,P1612,Loss of IPM Serial Data
1927,gmc,P1613,Loss of DIM Serial Data
1928,gmc,P1614,Loss of RIM Serial Data
1929,gmc,P1615,Loss of VTD Serial Data
1930,gmc,P1617,Engine Oil Level Switch Circuit
1931,gmc,P1619,Engine Oil Life Monitor Reset Circuit
1932,gmc,P1620,Low Coolant Circuit
1933,gmc,P1621,Control Module Long Term Memory Performance
1934,gmc,P1622,Cylinder Select
1935,gmc,P1623,Transmission Temp Pull-Up Resistor
1936,gmc,P1624,Customer Snapshot Requested - Data Available
1937,gmc,P1625,TCM System Reset
1938,gmc,P1626,Theft Deterrent Fuel Enable Signal Not Received
1939,gmc,P1627,A/D Performance
1940,gmc,P1628,ECT Pull-Up Resistor
1941,gmc,P1629,Theft Deterrent System - Cranking Signal
1942,gmc,P1630,Theft Deterrent Learn Mode Active
1943,gmc,P1631,Theft Deterrent Start Enable Signal Not Correct
1944,gmc,P1632,Theft Deterrent Fuel Disable Signal Received
1945,gmc,P1633,Ignition 0 Switch Circuit
1946,gmc,P1634,Ignition 1 Switch Circuit
1947,gmc,P1635,5 Volt Reference Circuit
1948,gmc,P1636,PCM Stack Overrun
1949,gmc,P1637,Generator L-Terminal Circuit
1950,gmc,P1638,Generator F-Terminal Circuit
1951,gmc,P1639,5 Volt Reference 2 Circuit
1952,gmc,P1640,Driver-1-Input High Voltage
1953,gmc,P1641,Malfunction Indicator Lamp (MIL) Control Circuit
1954,gmc,P1642,Vehicle Speed Output Circuit
1955,gmc,P1643,Engine Speed Output Circuit
1956,gmc,P1644,Traction Control Delivered Torque Output Circuit
1957,gmc,P1645,Evaporative Emission (EVAP) Vent Solenoid Contorl Circuit
1958,gmc,P1646,Evaporative Emission (EVAP) Vent Solenoid Control Circuit
1959,gmc,P1647,Driver 1 Line 7
1960,gmc,P1650,Control Module Output B Circuit
1961,gmc,P1651,Fan 1 Relay Control Circuit
1962,gmc,P1652,Powertrain Induced Chassis Pitch Output Circuit
1963,gmc,P1653,Oil Level Lamp Control Circuit
1964,gmc,P1654,Cruise Control Inhibit Output Circuit
1965,gmc,P1655,EVAP Purge Solenoid Control Circuit
1966,gmc,P1656,Driver 2 Line 6
1967,gmc,P1657,1-4 Upshift Solenoid Control Circuit
1968,gmc,P1658,Starter Enable Relay Control Circuit
1969,gmc,P1660,Cooling Fan Control Circuits
1970,gmc,P1661,MIL Control Circuit
1971,gmc,P1662,Cruise Lamp Control Circuit
1972,gmc,P1663,Oil Life Lamp Control Circuit
1973,gmc,P1664,1-4 Upshift Lamp Control Circuit
1974,gmc,P1665,Driver 3 Line 5
1975,gmc,P1666,Driver 3 Line 6
1976,gmc,P1667,Reverse Inhibit Solenoid Control Circuit
1977,gmc,P1669,ABS Unit Expected
1978,gmc,P1670,Driver 4
1979,gmc,P1671,Driver 4 Line 1
1980,gmc,P1672,Low Engine Oil Level Lamp Control Circuit
1981,gmc,P1673,Engine Hot Lamp Control Circuit
1982,gmc,P1674,Tachometer Control Circuit
1983,gmc,P1675,EVAP Vent Solenoid Control Circuit
1984,gmc,P1676,Driver 4 Line 6
1985,gmc,P1677,Driver 4 Line 7
1986,gmc,P1680,Driver 5
1987,gmc,P1681,Driver 5 Line 1
1988,gmc,P1682,Driver 5 Line 2
1989,gmc,P1683,Driver 5 Line 3
1990,gmc,P1684,Driver 5 Line 4
1991,gmc,P1685,Driver 5 Line 5
1992,gmc,P1686,Driver 5 Line 6
1993,gmc,P1687,Driver 5 Line 7
1994,gmc,P1689,Delivered Torque Circuit Fault
1995,gmc,P1690,ECM Loop Overrun
1996,gmc,P1691,Coolant Gage Circuit Low Voltage
1997,gmc,P1692,Coolant Gage Circuit High Voltage
1998,gmc,P1693,Tachometer Circuit Low Voltage
1999,gmc,P1694,Tachometer Circuit High Voltage
2000,gmc,P1695,Remote Keyless Entry Circuit Low
2001,gmc,P1696,Remote Keyless Entry Voltage High
2002,gmc,P1700,Transmission Control Module (TCM) Requested MILIllumination
2003,gmc,P1701,Trans. MIL Request Circuit
2004,gmc,P1705,P/N Signal Output Circuit
2005,gmc,P1740,Torque Reduction Signal Circuit
2006,gmc,P1743,TP Signal from ECM
2007,gmc,P1760,TCM Supply Voltage Interrupted
2008,gmc,P1779,Engine Torque Delivered to TCM Signal
2009,gmc,P1780,Park/Neutral Position [PNP] Switch Circuit
2010,gmc,P1781,Engine Torque Signal Circuit
2011,gmc,P1790,Transmission Control Module Checksum
2012,gmc,P1791,Transmission Control Module Loop
2013,gmc,P1793,Transmission Control Module Stack Overrun
2014,gmc,P1795,CAN Bus - Throttle Body Position
2015,gmc,P1800,TCM Power Relay Control Circuit
2016,gmc,P1801,Performance Selector Switch Failure
2017,gmc,P1804,Ground Control Relay
2018,gmc,P1810,TFP Valve Position Switch Circuit
2019,gmc,P1811,Maximum Adapt and Long Shift
2020,gmc,P1812,Transmission Over Temperature Condition
2021,gmc,P1813,Torque Control
2022,gmc,P1814,Torque Converter Overstressed
2023,gmc,P1815,Transmission Range Switch - Start In Wrong Range
2024,gmc,P1816,TFP Valve Position Sw. - Park/Neu. With Drive Ratio
2025,gmc,P1817,TFP Valve Position Sw. - Reverse With Drive Ratio
2026,gmc,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
2027,gmc,P1819,Internal Mode Switch - No Start/Wrong Range
2028,gmc,P1820,Internal Mode Switch Circuit A Low
2029,gmc,P1822,Internal Mode Switch Circuit B High
2030,gmc,P1823,Internal Mode Switch Circuit P Low
2031,gmc,P1825,Internal Mode Switch - Invalid Range
2032,gmc,P1826,Internal Mode Switch Circuit C - High
2033,gmc,P1831,PC Solenoid Power Circuit - Low Voltage
2034,gmc,P1833,A/T Solenoids Power Circuit - Low Voltage
2035,gmc,P1835,Kick-Down Switch Circuit
2036,gmc,P1836,Kick-Down Switch Failed Open
2037,gmc,P1837,Kick-Down Switch Failed Short
2038,gmc,P1842,1-2 Shift Solenoid Circuit Low Voltage
2039,gmc,P1843,1-2 Shift Solenoid Circuit High Voltage
2040,gmc,P1844,Torque Reduction Signal Circuit Desired By TCM
2041,gmc,P1845,2-3 Shift Solenoid Circuit Low Voltage
2042,gmc,P1847,2-3 Shift Solenoid Circuit High Voltage
2043,gmc,P1850,Brake Band Apply Solenoid Circuit
2044,gmc,P1851,Brake Band Apply Solenoid Performance
2045,gmc,P1852,Brake Band Apply SolenoidLow Voltage
2046,gmc,P1853,Brake Band Apply Solenoid High Voltage
2047,gmc,P1860,TCC PWM Solenoid Circuit Electrical
2048,gmc,P1864,Torque Converter Clutch Circuit
2049,gmc,P1868,Transmission Fluid Life
2050,gmc,P1870,Transmission Component Slipping
2051,gmc,P1871,Undefined Gear Ratio
2052,gmc,P1873,TCC Stator Temp. Switch Circuit Low
2053,gmc,P1874,TCC Stator Temp. Switch Circuit High
2054,gmc,P1875,4WD Low Switch Circuit Electrical
2055,gmc,P1884,TCC Enable/Shift Light Circuit
2056,gmc,P1886,Shift Timing Solenoid
2057,gmc,P1887,TCC Release Switch Circuit
2058,gmc,P1891,Throttle Position Sensor PWM Signal Low
2059,gmc,P1892,Throttle Position Sensor PWM Signal High
2060,gmc,P1893,Engine Torque Signal Low Voltage
2061,gmc,P1894,Engine Torque Signal High Voltage
2062,gmc,P1895,TCM to ECM Torque Reduction Circuit
2063,honda,P1106,Barometric Pressure Circuit Range/Performance
2064,honda,P1107,Barometric Pressure Circuit Low Input
2065,honda,P1108,Barometric Pressure Circuit High Input
2066,honda,P1121,Throttle Position Lower Than Expected
2067,honda,P1122,Throttle Position Higher Than Expected
2068,honda,P1128,MAP Lower Than Expected
2069,honda,P1129,MAP Higher Than Expected
2070,honda,P1149,Primary HO2S (Sensor 1) Circuit Range/Performance Problem
2071,honda,P1162,Primary HO2S (No. 1) Circuit Malfunction
2072,honda,P1163,Primary HO2S (No. 1) Circuit Slow Response
2073,honda,P1164,Primary HO2S (No. 1) Circuit Range/Performance
2074,honda,P1165,Primary HO2S (No. 1) Circuit Range/Performance
2075,honda,P1166,Primary HO2S (No. 1) Heater System Electrical
2076,honda,P1167,Primary HO2S (No. 1) Heater System
2077,honda,P1168,Primary HO2S (No. 1) LABEL Low Input
2078,honda,P1169,Primary HO2S (No. 1) LABEL High Input
2079,honda,P1253,VTEC System Malfunction
2080,honda,P1257,VTEC System Malfunction
2081,honda,P1258,VTEC System Malfunction
2082,honda,P1259,VTEC System Malfunction
2083,honda,P1297,Electrical Load Detector Circuit Low Input
2084,honda,P1298,Electrical Load Detector Circuit High Input
2085,honda,P1300,Multiple Cylinder Misfire Detected
2086,honda,P1336,CSF Sensor Intermittent Interruption
2087,honda,P1337,CSF Sensor No Signal
2088,honda,P1359,CKP/TDC Sensor Connector Disconnection
